LOCATION,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,48,52,0,4,22,31,23,13,6,2,31,69,N,2022-11-04 10:50
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,45,55,0,3,16,25,21,17,12,6,20,80,N,2022-11-04 10:50
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,56000,58000,51,49,0,2,17,28,25,16,9,4,36,64,N,2022-11-04 10:50
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,51,49,0,2,20,26,22,15,9,5,32,68,N,2022-11-04 10:50
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,44000,46000,49,51,0,15,18,23,18,13,8,4,26,74,N,2022-11-04 10:50
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,55,45,0,2,16,19,21,20,14,8,34,66,N,2022-11-04 10:50
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,38000,40000,45,55,0,3,32,28,17,11,6,4,36,64,N,2022-11-04 10:50
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,48,52,0,3,22,31,23,13,5,2,30,70,N,2022-11-04 11:00
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,45,55,0,3,16,25,21,18,12,6,21,79,N,2022-11-04 11:00
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,58000,60000,50,50,0,1,17,28,24,16,9,4,35,65,N,2022-11-04 11:00
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,48,52,0,1,20,28,20,16,9,5,34,66,N,2022-11-04 11:05
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,48000,50000,48,52,0,15,18,23,19,13,8,4,26,74,N,2022-11-04 11:05
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,54,46,0,2,16,19,21,19,15,8,34,66,N,2022-11-04 11:05
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,42000,44000,44,56,0,3,31,27,17,11,6,4,36,64,N,2022-11-04 11:05
